cluster,datestring,year,month,day,max D8HO,month_string,site
13,2014-08-14,2014,8,14,81,august.csv,
13,2014-08-15,2014,8,15,73,august.csv,
13,2014-08-16,2014,8,16,35,august.csv,
12,2014-08-17,2014,8,17,29,august.csv,
8,2014-08-18,2014,8,18,37,august.csv,
15,2014-08-19,2014,8,19,29,august.csv,
2,2014-08-20,2014,8,20,34,august.csv,
0,2014-08-21,2014,8,21,37,august.csv,
12,2014-08-22,2014,8,22,63,august.csv,
8,2014-08-23,2014,8,23,55,august.csv,
0,2014-08-24,2014,8,24,63,august.csv,
5,2014-08-25,2014,8,25,76,august.csv,
9,2014-08-26,2014,8,26,66,august.csv,
